time_iso8601,stars_cumulative
2024-02-14 00:00:00+00:00,465
2024-02-17 00:00:00+00:00,466
2024-02-19 00:00:00+00:00,467
2024-02-27 00:00:00+00:00,468
2024-02-28 00:00:00+00:00,470
2024-03-04 00:00:00+00:00,471
2024-03-06 00:00:00+00:00,472
2024-03-08 00:00:00+00:00,474
2024-03-12 00:00:00+00:00,475
2024-03-17 00:00:00+00:00,476
2024-03-24 00:00:00+00:00,477
2024-04-05 00:00:00+00:00,478
2024-04-17 00:00:00+00:00,479
2024-04-21 00:00:00+00:00,480
2024-04-25 00:00:00+00:00,481
2024-04-26 00:00:00+00:00,482
2024-05-10 00:00:00+00:00,483
2024-05-13 00:00:00+00:00,484
2024-05-15 00:00:00+00:00,485
2024-05-29 00:00:00+00:00,486
2024-06-08 00:00:00+00:00,487
2024-06-15 00:00:00+00:00,488
2024-06-24 00:00:00+00:00,489
2024-06-28 00:00:00+00:00,490
2024-06-30 00:00:00+00:00,491
2024-07-05 00:00:00+00:00,492
2024-07-11 00:00:00+00:00,493
2024-07-15 00:00:00+00:00,494
2024-07-21 00:00:00+00:00,495
2024-07-24 00:00:00+00:00,496
2024-07-26 00:00:00+00:00,497
2024-07-31 00:00:00+00:00,498
2024-08-15 00:00:00+00:00,499
2024-08-19 00:00:00+00:00,500
2024-08-24 00:00:00+00:00,501
2024-08-28 00:00:00+00:00,503
2024-08-30 00:00:00+00:00,504
